fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o
45,251,Rockland,1,0,54.17798457,1,642,312,330,105,433,104,593,14,0,5,0,5,14,11,178,85,44,28,13,5,3,86,70,13,0,2,1,0,0,652,12,0,52,10,26,36,13,0,0,85,9,77,131,38,130,33
137,251,Rockland,1,1,54.17798457,1,465,229,236,85,319,61,426,20,0,2,0,8,6,3,122,54,29,21,13,3,2,75,64,10,0,0,1,0,0,752,40,39,0,0,0,13,22,16,0,96,10,100,144,108,144,20
74,252,Rockport,1,0,73.20907259,1,405,183,222,85,262,58,381,6,0,1,0,0,4,13,103,35,27,26,13,1,1,63,57,5,0,1,0,0,0,989,27,46,18,10,39,20,38,17,51,76,122,212,99,87,95,32
138,252,Rockport,1,1,73.20907259,1,279,125,154,74,160,45,249,4,0,5,0,0,9,12,83,40,22,13,6,2,0,30,24,4,1,1,0,0,0,989,27,46,18,10,39,20,38,17,51,76,122,212,99,87,95,32
76,258,Salem,1,0,69.13552274,1,844,358,486,86,444,314,763,12,0,34,2,1,9,23,231,152,45,19,10,5,0,220,197,19,3,0,1,0,0,1429,62,90,28,51,25,24,13,84,13,168,179,249,138,139,109,57
98,258,Salem,1,1,69.13552274,1,936,413,523,129,650,157,795,34,1,20,0,1,11,74,256,147,69,29,9,1,1,211,168,38,4,1,0,0,0,1429,62,90,28,51,25,24,13,84,13,168,179,249,138,139,109,57
7,262,Saugus,1,0,0,1,580,292,288,92,408,80,507,11,0,52,0,0,8,2,160,56,41,32,19,8,4,36,30,5,1,0,0,0,0,792,0,0,50,0,70,35,33,74,16,67,88,91,54,65,65,84
14,264,Scituate,1,0,0,1,238,117,121,48,145,45,230,0,0,0,0,0,5,3,71,37,14,9,7,1,3,18,14,3,0,1,0,0,0,506,11,0,0,0,8,56,0,0,8,0,18,96,64,25,45,175
69,266,Sharon,1,0,98.42831903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,42,97,23,20,15,33,18,26,15,19,45,118,126,99,143,307
140,266,Sharon,1,1,98.42831903,1,308,146,162,96,179,33,261,9,1,27,2,0,8,0,91,27,26,30,7,0,1,12,11,1,0,0,0,0,0,809,11,0,0,0,16,0,0,17,0,17,13,73,102,116,106,338
66,269,Sherborn,1,0,99.86852085,1,82,32,50,19,34,29,77,0,0,4,0,0,0,1,17,7,3,4,3,0,0,27,26,1,0,0,0,0,0,713,32,0,20,10,24,0,0,16,0,22,18,10,87,65,132,277
128,269,Sherborn,1,1,99.86852085,1,326,159,167,98,174,54,301,3,0,11,0,0,5,6,94,35,18,28,11,1,1,17,12,5,0,0,0,0,0,713,32,0,20,10,24,0,0,16,0,22,18,10,87,65,132,277
72,274,Somerville,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,12,0,0,0,41,0,4,17,0,8,5,12,123,14,0,41
78,277,Southborough,1,0,0,1,314,149,165,95,187,32,265,2,0,31,0,0,10,6,91,29,19,29,8,6,0,7,7,0,0,0,0,0,0,335,6,0,0,0,0,8,0,0,0,29,8,43,37,29,36,139
15,284,Stoneham,1,0,0,1,962,471,491,232,598,132,882,14,2,41,0,2,6,15,270,87,69,71,32,7,4,47,35,9,3,0,0,0,0,756,39,0,0,8,32,0,83,21,11,17,45,46,154,48,64,188
16,285,Stoughton,1,0,87.65135487,1,556,276,280,143,328,85,381,87,0,47,0,14,19,8,149,46,39,31,20,8,5,25,17,7,0,1,0,0,0,763,42,31,8,15,41,62,28,50,34,40,112,116,69,29,31,55
104,285,Stoughton,1,1,87.65135487,1,598,296,302,145,376,77,457,72,0,40,0,6,14,9,163,63,34,35,16,10,5,40,30,9,1,0,0,0,0,279,0,0,0,0,0,24,0,13,0,0,28,8,58,79,22,47
81,286,Stow,1,0,0.034596161,1,485,229,256,144,288,53,452,4,0,12,0,0,15,2,141,47,38,37,15,2,2,17,11,3,1,2,0,0,0,921,50,0,0,0,0,0,68,0,17,28,43,118,44,23,178,352
141,286,Stow,1,1,0.034596161,1,52,23,29,17,27,8,46,4,0,0,0,0,0,2,14,4,4,5,0,1,0,6,6,0,0,0,0,0,0,585,0,25,37,0,0,66,17,0,0,13,138,16,58,17,131,67
82,288,Sudbury,1,0,99.7800123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,42,8,24,0,0,0,16,0,8,39,17,61,87,22,110,287
